Det,Nombre,Region,Estado,Ciudad,Municipio,Proto,Long,Lat,Con servicio?
1054,Colima Norte,Occidente,Colima,ZM de Colima-Villa de Álvarez,Colima,SPCT-112,"-103,720,535","19,257,343",Sí
4018,Santa Maria,Centro,Mexico,ZM del Valle de México,Coacalco de Berriozábal,SPCT-127,"-99,123,810","19,629,970",Sí
1656,Club De Golf,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-62,"-106,130,459","28,665,604",Sí
3293,Blvd Ruiz Cortines,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,946,000","17,992,100",Sí
2380,Cd. Obregon,Noroeste,Sonora,Ciudad Obregón,Cajeme,SPCT-127,"-109,928,448","27,516,563",Sí
2463,Veracruz,Sureste,Veracruz,ZM de Veracruz,Boca del Río,SPCT-127,"-96,112,189","19,156,554",Sí
3845,Universidad,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-112,"-99,164,148","19,368,587",Sí
2670,Tlalpan,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-127,"-99,141,224","19,380,229",Sí
2689,Felix Cuevas,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-112,"-99,176,311","19,371,627",Sí
2384,Cancun Labna,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-127,"-86,833,692","21,154,319",Sí
3505,Poligono Sur,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,"-86,875,835","21,125,694",Sí
1425,Bahia De Banderas,Occidente,Nayarit,ZM de Puerto Vallarta,Bahía de Banderas,SPCT-127,"-105,277,745","20,722,282",Sí
3862,Azcapotzalco,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,"-99,192,469","19,472,928",Sí
2466,Cuitlahuac,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,"-99,164,282","19,471,133",Sí
1584,Espacio Esmeralda,Centro,Mexico,ZM del Valle de México,Atizapán de Zaragoza,SPCT-112,"-99,290,336","19,552,911",Sí
3852,Plateros,Centro,Distrito Federal,ZM del Valle de México,Álvaro Obregón,SPCT-112,"-99,194,069","19,369,740",Sí
3876,Las Aguilas,Centro,Distrito Federal,ZM del Valle de México,Álvaro Obregón,SPCT-112,"-99,215,397","19,352,766",Sí
1770,Patio Santa Fe,Centro,Distrito Federal,ZM del Valle de México,Álvaro Obregón,SPCT-127,"-99,254,174","19,377,912",Sí
1083,Portal San Angel,Centro,Distrito Federal,ZM del Valle de México,Álvaro Obregón,SC-144,"-99,190,687","19,361,265",Sí
2346,Aguascalientes,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-127,"-102,295,685","21,923,979",Sí
2349,Acapulco,Suroeste,Guerrero,ZM de Acapulco,Acapulco de Juárez,SPCT-127,"-99,847,305","16,844,695",Sí
1067,Diamante,Suroeste,Guerrero,ZM de Acapulco,Acapulco de Juárez,SPCT-127,"-99,809,303","16,797,157",Sí
3533,Punto Guadiana,Norte,Durango,Victoria de Durango,Durango,SC - 90,"-104,691,643","24,014,578",Sí
4719,San Cristobal,Suroeste,Chiapas,San Cristobal de las Casas,San Cristobal de las Casas,SC - 90,"-92,660,128","16,744,379",Sí
3857,Villa Coapa,Centro,Distrito Federal,ZM del Valle de México,Tlalpan,SC-112,"-99,123,779","19,292,962",Sí
383,Puerta Tlatelolco,Centro,Distrito Federal,ZM del Valle de México,Cuahutémoc,SC-70,"-99,142,341","19,456,436",Sí
