Det,Nombre,Venta_Promedio,distance_Km
1613,Playas De Tijuana,1169.5904729565777,2.9420121622659487
3853,San Manuel,1369.7250832102009,2.930704399511292
1045,Domingo Diez,1371.228497190399,2.908190230366655
4628,Las Antenas,1402.3566625621902,2.9056518012914196
2179,San Nicolas,1320.8684035186675,2.8699176359949203
2381,Morelia,1200.4559369538076,2.8680551356011867
3878,Niño Obrero,1365.9884441482945,2.8565239128797804
2284,Portal Cuautitlan,1429.4039571428607,2.8456444299528205
4139,Campeche,1268.3817884173297,2.8398034522973155
1801,Ciudad Judicial,1609.2208294260047,2.831555355628234
1584,Espacio Esmeralda,1654.8736788040535,2.828964937454067
2432,Durango,1244.45157228395,2.8225541507217033
1139,La Huasteca,1331.099703286385,2.8058207625957583
4012,Jardines Del Sol,1292.3774067021952,2.8035521608854412
2676,La Fe,1413.9916877590297,2.8027937340964977
2734,Plaza Ana,1163.1695169467787,2.8015549293059263
3030,Blvd Morelos,1292.937701693121,2.7958641438732177
3721,Avila Camacho,1393.0725763433056,2.777322934751219
4071,Patria,1671.4583914607022,2.7642386990494936
2074,Carretera 57,1507.6883747619038,2.7518623171342975
1015,Irapuato,1540.5956225580599,2.7455483035672077
1423,Santa Elena,1202.0688316798205,2.737105877600101
2347,Tlahuac,1383.3362218009465,2.7289432000703893
3850,Echegaray,1485.1754686984762,2.711514760990636
3630,Las Adelitas,1348.0109579939665,2.6962511601448407
2349,Acapulco,1807.5410382797088,2.6821356897401487
3293,Blvd Ruiz Cortines,1519.616245226993,2.6807170787429224
3239,Paseo Real,1486.0657114127712,2.676880984194115
2735,La Cruz,1511.5603960529345,2.6352933250326065
4619,Tlaxcala Estadio,1374.8551397805222,2.5737707922937574
2448,Punta Del Este,1456.4792160788381,2.5715867617795367
1622,Gomez Morin,1674.5462857982227,2.559310477590484
3356,Lazaro Cardenas,1626.3238784999994,2.5203070584450322
3945,Av Central,1243.8441152810765,2.518890559874373
2344,Toreo,1636.3637286853511,2.5133921891516704
3852,Plateros,1468.145461623929,2.511731985504471
1460,Cuemanco,1621.0086481202118,2.491111954456311
3857,Villa Coapa,1478.899994176432,2.448153036630174
3848,Taxqueña,1618.9358862672852,2.4438178379017694
3511,Mario Colin,1349.1224964902306,2.4173826389752184
2989,Valle Real,1663.817051025303,2.3775405110819516
4547,Plaza Eduardo Molina,1382.676857633634,2.3761459774908285
2464,Miramontes,1507.5784133333282,2.364085965264247
3909,Cordoba,1900.9587285507243,2.3564779429934033
1770,Patio Santa Fe,1947.9327388268753,2.349724533699478
3718,Ejercito Mexicano,1167.2407959942782,2.344211962734922
1512,Tercer Anillo,1321.9666354978344,2.3319358075379095
4549,Los Mochis,1435.6270086829843,2.322834120370462
4036,Guaymas,1736.6676276086962,2.3112005643162195
3876,Las Aguilas,1847.077560869562,2.3033943407052004
3845,Universidad,1473.5984904110326,2.2740310925872715
3847,Satelite,1551.2222854861343,2.252682866214348
3031,Celaya Irrigacion,1674.7223903319525,2.252202154463757
1007,Harold Pape Monclova,1431.9241583959893,2.2268328425796295
3846,Buenavista,1515.0439807703235,2.2218192360095887
1083,Portal San Angel,1576.516782434824,2.209734485101706
1513,Portal Centro,1395.7852361505736,2.1945089682622627
2342,Vallarta,1497.1829925722516,2.1788785509365067
4156,Cola De Ballena,1687.3744444444446,2.153875499888243
1108,Altozano,1474.9605013136277,2.111718246695609
2644,Patio Tlalpan,1523.3892709107472,2.082632740820719
1054,Colima Norte,1246.1395480452652,2.058792817930498
3241,Plaza Del Valle,1746.956965228613,2.0555924102347145
4154,Perinorte,1325.8542264498462,2.037613777169512
2382,Interlomas,2045.411342807716,2.0200819212072805
2648,Plaza El Paseo,1730.3950475778554,1.984733742540509
3862,Azcapotzalco,1316.3940541395725,1.9680865256362026
3505,Poligono Sur,1473.5211834439829,1.961857242588087
2345,Tepeyac,1403.75134255725,1.956176592826756
2466,Cuitlahuac,1399.885035237295,1.8657677049555899
1003,Playa Del Carmen,1819.0496593420748,1.8247782570558857
1032,Lomas Verdes,1700.485005406387,1.8122352841251346
3872,Balbuena,1440.8572120164881,1.7795336922166196
3877,Torres Lindavista,1415.8645447872682,1.769888315409545
1580,El Rosario,1397.7316527973112,1.6819698811202912
2670,Tlalpan,1416.1845764452094,1.642512346946014
3858,Cuajimalpa,1800.0818706650323,1.617234233975924
2689,Felix Cuevas,1567.246364898504,1.507817942981734
383,Puerta Tlatelolco,1359.943476881188,1.2952164161751625
