,id_tienda,nombre_tienda,region,estado,ciudad,municipio,proto,long,lat,con_serv
159,1580,El Rosario,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,-99.204396,19.502639,Sí
160,3878,Niño Obrero,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,-103.41,20.6668,Sí
161,2342,Vallarta,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-127,-103.433081,20.67922,Sí
162,3721,Avila Camacho,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-127,-103.375364,20.713868,Sí
163,4012,Jardines Del Sol,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-127,-103.419294,20.649563,Sí
164,4071,Patria,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-127,-103.415,20.7052,Sí
165,2989,Valle Real,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,-103.450744,20.729725,Sí
166,4546,Zacatecas,Bajio,Zacatecas,ZM de Zacatecas-Guadalupe,Zacatecas,SPCT-112,-102.550853,22.762089,Sí
167,2839,Xalapa Arco Sur,Sureste,Veracruz,ZM de Xalapa,Xalapa,SPCT-112,-96.881879,19.508967,Sí
168,1512,Tercer Anillo,Occidente,Colima,ZM de Colima-Villa de Álvarez,Villa de Álvarez,SPCT-112,-103.730935,19.280852,Sí
169,3851,Aeropuerto,Centro,Distrito Federal,ZM del Valle de México,Venustiano Carranza,SPCT-127,-99.093828,19.419601,Sí
170,1130,Belisario Dominguez,Suroeste,Chiapas,ZM de Tuxtla Gutiérrez,Tuxtla Gutiérrez,SPCT-90,-93.136163,16.75333,Sí
171,2375,Torreon,Norte,Coahuila,ZM de La Laguna,Torreón,SPCT-127,-103.423282,25.552137,Sí
172,3631,Tonala,Occidente,Jalisco,ZM de Guadalajara,Tonalá,SPCT-127,-103.257387,20.627848,Sí
173,1460,Cuemanco,Centro,Distrito Federal,ZM del Valle de México,Tlalpan,SPCT-127,-99.108649,19.294826,Sí
174,2644,Patio Tlalpan,Centro,Distrito Federal,ZM del Valle de México,Tlalpan,SC-144,-99.176329,19.284504,Sí
175,3854,Pirules,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-112,-99.213848,19.542913,Sí
176,3511,Mario Colin,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SC-112,-99.187567,19.535713,Sí
177,1022,Lopez Mateos Sur,Occidente,Jalisco,ZM de Guadalajara,Tlajomulco de Zúñiga,SPCT-127,-103.442758,20.587614,Sí
178,4155,Tijuana 2000,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-127,-116.847681,32.494047,Sí
179,4011,Tijuana Hipodromo,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-112,-116.993,32.5082,Sí
180,1613,Playas De Tijuana,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-90,-117.119004,32.528235,Sí
181,1489,Hiperplaza Texcoco,Centro,Mexico,ZM del Valle de México,Texcoco,SPCT-127,-98.867845,19.515652,Sí
182,3588,Paraiso,Centro,Morelos,ZM de Cuernavaca,Temixco,SPCT-112,-99.216263,18.83945,Sí
